player_id,created_at,total_spendings,food,alcohol,restaurants,rent,gas,oil,power,fuel,car,pubTrans,leisure,travel,clothing,teleCom,elecDev,bodyCare,health,tobacco,remainder,identifier,top_cat_1,top_cat_2,top_cat_3,version,persInfl,created_at_ws
2df57db8-c116-49d5-88a7-a7914d949c78,1667808145.2676475,1200.0,300.0,0.0,20.0,500.0,60.0,0.0,30.0,0.0,0.0,50.0,60.0,0.0,30.0,21.0,0.0,15.0,20.0,0.0,94.0,Submit,Gas,Nahrungsmittel,Nettokaltmiete,new,10.1,1667808144881.0
66d1771d-40de-450c-b5c0-7c8d73911809,1667639778.373785,827.0,200.0,0.0,0.0,370.0,150.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,Submit,Gas,Nahrungsmittel,Nettokaltmiete,new,17.9,1667639778365.0
66d1771d-40de-450c-b5c0-7c8d73911809,1667639852.7428522,827.0,200.0,0.0,0.0,370.0,150.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,positiveFeedback,Gas,Nahrungsmittel,Nettokaltmiete,new,17.9,1667639852686.0
66d1771d-40de-450c-b5c0-7c8d73911809,1667639502.820305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Begin,undefined,undefined,undefined,new,0.0,1667639502922.0
0f88bee3-e3f7-4931-abca-d6025e1d0cae,1667575566.2506366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Begin,undefined,undefined,undefined,old,0.0,1667575565149.0
0f88bee3-e3f7-4931-abca-d6025e1d0cae,1667575294.0830808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Begin,undefined,undefined,undefined,old,0.0,1667575293020.0
0f88bee3-e3f7-4931-abca-d6025e1d0cae,1667575480.991571,400.0,50.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,9.0,0.0,0.0,0.0,10.0,0.0,9.0,10.0,0.0,0.0,Submit,not defined,not defined,not defined,old,8.1,1667575479857.0
0f88bee3-e3f7-4931-abca-d6025e1d0cae,1667575574.3977053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Begin,undefined,undefined,undefined,old,0.0,1667575573336.0
0f88bee3-e3f7-4931-abca-d6025e1d0cae,1667575579.686004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Begin,undefined,undefined,undefined,old,0.0,1667575578610.0
0f88bee3-e3f7-4931-abca-d6025e1d0cae,1667575686.2815104,1500.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Submit,not defined,not defined,not defined,old,7.4,1667575685110.0
