player_id,created_at,total_spendings,food,alcohol,restaurants,rent,gas,oil,power,fuel,car,pubTrans,leisure,travel,clothing,teleCom,elecDev,bodyCare,health,tobacco,remainder,identifier,top_cat_1,top_cat_2,top_cat_3,version,persInfl,created_at_ws
214e63aa-c552-43be-9050-1b0af4f5e2f7,2022-11-05 13:18:07,1410.0,400.0,0.0,20.0,600.0,0.0,0.0,190.0,0.0,0.0,60.0,30.0,0.0,40.0,30.0,20.0,10.0,10.0,0.0,0.0,Submit,not defined,not defined,not defined,old,9.4,2022-11-05 13:18:07
214e63aa-c552-43be-9050-1b0af4f5e2f7,2022-11-06 05:56:16,1390.0,400.0,0.0,10.0,600.0,0.0,0.0,190.0,0.0,0.0,50.0,30.0,0.0,30.0,30.0,10.0,10.0,20.0,0.0,0.0,Submit,not defined,not defined,not defined,old,9.4,2022-11-06 05:56:16
0f88bee3-e3f7-4931-abca-d6025e1d0cae,2022-11-04 15:24:40,400.0,50.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,9.0,0.0,0.0,0.0,10.0,0.0,9.0,10.0,0.0,0.0,Submit,not defined,not defined,not defined,old,8.1,2022-11-04 15:24:39
0f88bee3-e3f7-4931-abca-d6025e1d0cae,2022-11-04 15:28:06,1500.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Submit,not defined,not defined,not defined,old,7.4,2022-11-04 15:28:05
3ad5f780-8d52-4418-b38e-ba468bbf8d3f,2022-11-05 21:57:07,700.0,150.0,5.0,0.0,400.0,0.0,70.0,30.0,30.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,5.0,0.0,0.0,0.0,Submit,not defined,not defined,not defined,old,15.8,2022-11-05 21:57:05
3ad5f780-8d52-4418-b38e-ba468bbf8d3f,2022-11-05 21:55:53,700.0,150.0,5.0,0.0,400.0,0.0,70.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Submit,not defined,not defined,not defined,old,15.9,2022-11-05 21:55:51
7edcd733-095c-4cde-b2c2-0e1542237e44,2022-11-05 19:07:41,415.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,20.0,10.0,100.0,10.0,25.0,0.0,0.0,Submit,not defined,not defined,not defined,old,11.1,2022-11-05 19:07:40
7edcd733-095c-4cde-b2c2-0e1542237e44,2022-11-05 19:08:13,415.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,20.0,10.0,100.0,10.0,25.0,0.0,0.0,Submit,not defined,not defined,not defined,old,11.1,2022-11-05 19:08:12
960ab8ff-0d7c-47db-bda4-55358b92e881,2022-11-05 21:48:28,850.0,200.0,0.0,25.0,275.0,30.0,20.0,55.0,0.0,0.0,36.0,25.0,0.0,50.0,18.0,10.0,25.0,15.0,0.0,0.0,Submit,not defined,not defined,not defined,old,12.1,2022-11-05 21:48:27
960ab8ff-0d7c-47db-bda4-55358b92e881,2022-11-05 21:48:49,850.0,200.0,0.0,25.0,275.0,30.0,20.0,55.0,0.0,0.0,36.0,25.0,0.0,50.0,18.0,10.0,25.0,15.0,0.0,0.0,Submit,not defined,not defined,not defined,old,12.1,2022-11-05 21:48:48
73ad88bb-7939-4a46-b947-9545243a4d4f,2022-11-04 10:34:41,340.0,100.0,10.0,0.0,0.0,0.0,0.0,60.0,90.0,0.0,0.0,10.0,0.0,20.0,40.0,0.0,5.0,0.0,0.0,0.0,Submit,not defined,not defined,not defined,old,15.0,2022-11-04 10:34:41
